Proof of Work,,,,
"Bitcoin-related articles, books, podcasts, videos, and additional resources have been curated for you in this file",,,,
Mark a resource as “Done” as proof of the work you've put in to understand bitcoin.,,,,
"Always do your own research. Don't trust everything you read or hear, verify. ",,,,
,,,,
Done,Tags,Name,Author,Link
FALSE,Whitepaper,The Bitcoin Whitepaper,Satoshi Nakamoto,https://www.buddylasta.com/pdfs/bitcoin.pdf
FALSE,Macroeconomics,Why Bitcoin?,Wiz,https://medium.com/@wiz/why-bitcoin-359ada12629e
FALSE,Philosophical,"Why Bitcoin, The Series",Tomer Strolight,https://tomerstrolight.medium.com/why-bitcoin-the-series-660fe20ec244
FALSE,Philosophical,Bitcoin is an Idea,Gigi,https://dergigi.com/2021/06/13/bitcoin-is-an-idea/
FALSE,Philosophical,Bitcoin is Time,Gigi,https://www.swanbitcoin.com/bitcoin-is-time/
FALSE,Philosophical,Bitcoin is the Mycelium of Money,Brandon Quittem,https://www.brandonquittem.com/bitcoin-is-the-mycelium-of-money/
FALSE,FOSS,Why Bitcoin Free Open Source Software Matters,Vlad Costea,https://bitcoin-takeover.com/why-bitcoin-free-open-source-software-matters/amp/
FALSE,FOSS,Fighting Monetary Colonialism with Open-Source Code,Alex Gladstein,https://bitcoinmagazine.com/culture/bitcoin-a-currency-of-decolonization
FALSE,Macroeconomics,Gradually Then Suddenly,Parker Lewis,https://unchained.com/blog/category/gradually-then-suddenly/
FALSE,Macroeconomics,Uncovering the Hidden Costs of the Petrodollar,Alex Gladstein,https://bitcoinmagazine.com/culture/the-hidden-costs-of-the-petrodollar
FALSE,Technical,Auditing Bitcoin Supply,Pierre Rochard,https://www.pierrerochard.com/auditing-bitcoin-supply/
FALSE,Technical,Bitcoin Nodes vs Miners Demystified,Braiins,https://braiins.com/blog/bitcoin-nodes-vs-miners-demystified#start
FALSE,Technical,Proof-of-Stake and Stablecoins: A Blockchain Centralization Dilemma,Lyn Alden,https://www.lynalden.com/proof-of-stake/
FALSE,Technical,Understanding The Technical Side of Bitcoin,Pierre Rochard,https://pierre-rochard.medium.com/understanding-the-technical-side-of-bitcoin-2c212dd65c09
FALSE,Energy,Bitcoin Mining and the Case for more Energy,Hodl’n Caulfield & Selene Lindstrom,https://bitcoinandenergy.medium.com/bitcoin-mining-and-the-case-for-more-energy-90094ce25fac
FALSE,Energy,"Bitcoin’s Energy Usage Isn’t a Problem, Here’s Why",Lyn Alden,https://www.lynalden.com/bitcoin-energy/
FALSE,Energy,Bitcoin is the First Global Market for Electricity and will Unleash Renewables,Nima Tabatabai,https://www.citadel21.com/bitcoin-is-the-first-global-market-for-electricity-and-will-unleash-renewables
FALSE,Energy,Bitcoin’s Proof of Work is Well Worth It’s Fees,Nic Carter & Lucas Nuzzi,https://bitcoinmagazine.com/business/the-value-of-bitcoin-proof-of-work
FALSE,Energy,The Last Word on Bitcoin’s Energy Consumption,Nic Carter,https://www.coindesk.com/business/2020/05/19/the-last-word-on-bitcoins-energy-consumption/
FALSE,Human Rights,"Fix the Money, Fix the World",Aleksandar Svetski,https://bitcoinmagazine.com/culture/fix-the-money-fix-the-world
FALSE,Human Rights,Finding Financial Freedom in Afghanistan,Alex Gladstein,https://bitcoinmagazine.com/culture/bitcoin-financial-freedom-in-afghanistan
FALSE,"Energy, Human Rights",The Humanitarian and Environmental Case for Bitcoin,Alex Gladstein,https://bitcoinmagazine.com/culture/bitcoin-is-humanitarian-and-environmental